open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
201.43,202.615,199.46,201.0,50117398.0,202.64,199.46,201.0,201.43,50799121.0,1.0,0.0,AAPL,XNAS,2025-06-26 00:00:00+00:00
201.89,203.22,200.0,201.08,73114100.0,203.22,200.0,201.08,201.89,73188571.0,1.0,0.0,AAPL,XNAS,2025-06-27 00:00:00+00:00
174.63,178.84,172.71,178.27,73977100.0,178.84,172.71,178.27,174.63,74053110.0,1.0,0.0,GOOG,XNAS,2025-06-27 00:00:00+00:00
497.55,499.3,493.03,495.94,34532600.0,499.3,493.03,495.94,497.55,34539236.0,1.0,0.0,MSFT,XNAS,2025-06-27 00:00:00+00:00
202.01,207.39,199.2607,205.17,90651078.0,207.39,199.2607,205.17,202.01,91912816.0,1.0,0.0,AAPL,XNAS,2025-06-30 00:00:00+00:00
180.78,181.55,175.5,177.39,43732486.0,181.58,175.5,177.39,180.785,43964599.0,1.0,0.0,GOOG,XNAS,2025-06-30 00:00:00+00:00
497.04,500.76,495.33,497.41,28358400.0,500.76,495.33,497.41,497.04,28368991.0,1.0,0.0,MSFT,XNAS,2025-06-30 00:00:00+00:00
206.665,210.1865,206.1401,207.82,77921627.0,210.1865,206.1401,207.82,206.665,78788867.0,1.0,0.0,AAPL,XNAS,2025-07-01 00:00:00+00:00
176.805,177.22,174.66,176.91,25754400.0,177.22,174.66,176.91,176.805,25778460.0,1.0,0.0,GOOG,XNAS,2025-07-01 00:00:00+00:00
496.47,498.05,490.98,492.05,19929500.0,498.05,490.98,492.05,496.47,19945375.0,1.0,0.0,MSFT,XNAS,2025-07-01 00:00:00+00:00
209.08,213.34,208.14,212.44,67834447.0,213.34,208.14,212.44,208.91,67941811.0,1.0,0.0,AAPL,XNAS,2025-07-02 00:00:00+00:00
176.545,179.935,176.09,179.76,19300400.0,179.935,176.09,179.76,176.545,19325861.0,1.0,0.0,GOOG,XNAS,2025-07-02 00:00:00+00:00
489.99,493.5,488.7,491.09,16310800.0,493.5,488.7,491.09,489.99,16319641.0,1.0,0.0,MSFT,XNAS,2025-07-02 00:00:00+00:00
212.145,214.65,211.8101,213.55,34955836.0,214.65,211.8101,213.55,212.145,34955836.0,1.0,0.0,AAPL,XNAS,2025-07-03 00:00:00+00:00
179.82,180.77,178.19,180.55,13287389.0,180.77,178.19,180.55,179.82,13287389.0,1.0,0.0,GOOG,XNAS,2025-07-03 00:00:00+00:00
493.81,500.13,493.44,498.84,13984829.0,500.13,493.44,498.84,493.81,13984829.0,1.0,0.0,MSFT,XNAS,2025-07-03 00:00:00+00:00
212.68,216.23,208.8,209.95,49905104.0,216.23,208.8,209.95,212.68,50228984.0,1.0,0.0,AAPL,XNAS,2025-07-07 00:00:00+00:00
180.135,180.34,176.64,177.56,20964300.0,180.34,176.64,177.56,180.135,20991357.0,1.0,0.0,GOOG,XNAS,2025-07-07 00:00:00+00:00
497.38,498.75,495.225,497.72,13791130.0,498.75,495.225,497.72,497.38,13981605.0,1.0,0.0,MSFT,XNAS,2025-07-07 00:00:00+00:00
210.13,211.43,208.45,210.01,42036884.0,211.43,208.45,210.01,210.1,42848928.0,1.0,0.0,AAPL,XNAS,2025-07-08 00:00:00+00:00
178.78,178.79,173.92,175.16,24077000.0,178.79,173.92,175.16,178.78,24108642.0,1.0,0.0,GOOG,XNAS,2025-07-08 00:00:00+00:00
497.24,498.2,494.11,496.62,11838500.0,498.2,494.11,496.62,497.24,11846586.0,1.0,0.0,MSFT,XNAS,2025-07-08 00:00:00+00:00
209.53,211.33,207.22,211.14,48408519.0,211.33,207.22,211.14,209.53,48749367.0,1.0,0.0,AAPL,XNAS,2025-07-09 00:00:00+00:00
176.11,180.28,173.88,177.66,31260700.0,180.28,173.88,177.66,176.11,31288035.0,1.0,0.0,GOOG,XNAS,2025-07-09 00:00:00+00:00
500.3,506.78,499.74,503.51,18641200.0,506.78,499.74,503.51,500.3,18659538.0,1.0,0.0,MSFT,XNAS,2025-07-09 00:00:00+00:00
210.505,213.48,210.12,212.41,43770740.0,213.48,210.03,212.41,210.505,44443635.0,1.0,0.0,AAPL,XNAS,2025-07-10 00:00:00+00:00
176.67,179.59,175.74,178.7,24680800.0,179.59,175.74,178.7,176.67,24693712.0,1.0,0.0,GOOG,XNAS,2025-07-10 00:00:00+00:00
503.05,504.44,497.75,501.48,16492100.0,504.44,497.75,501.48,503.05,16498740.0,1.0,0.0,MSFT,XNAS,2025-07-10 00:00:00+00:00
210.57,212.13,209.86,211.16,39719300.0,212.13,209.86,211.16,210.565,39765812.0,1.0,0.0,AAPL,XNAS,2025-07-11 00:00:00+00:00
177.91,182.61,177.541,181.31,23953300.0,182.61,177.5405,181.31,177.91,23975714.0,1.0,0.0,GOOG,XNAS,2025-07-11 00:00:00+00:00
498.47,505.03,497.8,503.32,16455000.0,505.03,497.795,503.32,498.47,16459512.0,1.0,0.0,MSFT,XNAS,2025-07-11 00:00:00+00:00
209.909,210.91,207.54,208.62,37683849.0,210.91,207.54,208.62,209.925,38840111.0,1.0,0.0,AAPL,XNAS,2025-07-14 00:00:00+00:00
182.07,184.73,180.711,182.81,20970100.0,184.73,180.7109,182.81,182.07,20990352.0,1.0,0.0,GOOG,XNAS,2025-07-14 00:00:00+00:00
501.52,503.97,501.03,503.02,12052100.0,503.97,501.03,503.02,501.515,12058848.0,1.0,0.0,MSFT,XNAS,2025-07-14 00:00:00+00:00
209.15,211.89,208.92,209.11,42071894.0,211.89,208.92,209.11,209.22,42296339.0,1.0,0.0,AAPL,XNAS,2025-07-15 00:00:00+00:00
183.94,185.41,182.39,183.1,23872700.0,185.41,182.39,183.1,183.94,23911567.0,1.0,0.0,GOOG,XNAS,2025-07-15 00:00:00+00:00
503.02,508.3,502.79,505.82,14906100.0,508.3,502.79,505.82,503.02,14927202.0,1.0,0.0,MSFT,XNAS,2025-07-15 00:00:00+00:00
210.29,212.4,208.64,210.16,47148580.0,212.4,208.64,210.16,210.295,47490532.0,1.0,0.0,AAPL,XNAS,2025-07-16 00:00:00+00:00
184.32,185.335,183.08,183.77,21130200.0,185.3352,183.08,183.77,184.32,21152555.0,1.0,0.0,GOOG,XNAS,2025-07-16 00:00:00+00:00
505.18,506.72,501.89,505.62,15146200.0,506.72,501.89,505.62,505.18,15154374.0,1.0,0.0,MSFT,XNAS,2025-07-16 00:00:00+00:00
210.625,211.8,209.59,210.02,47738194.0,211.8,209.59,210.02,210.57,48068141.0,1.0,0.0,AAPL,XNAS,2025-07-17 00:00:00+00:00
183.115,185.187,181.5,184.7,21640200.0,185.1873,181.5,184.7,183.115,21654370.0,1.0,0.0,GOOG,XNAS,2025-07-17 00:00:00+00:00
505.68,513.37,505.62,511.7,17491600.0,513.37,505.62,511.7,505.68,17503129.0,1.0,0.0,MSFT,XNAS,2025-07-17 00:00:00+00:00
210.87,211.79,209.7,211.18,48939500.0,211.79,209.7045,211.18,210.87,48974591.0,1.0,0.0,AAPL,XNAS,2025-07-18 00:00:00+00:00
186.62,187.36,184.73,185.94,21011300.0,187.36,184.73,185.94,186.62,21033397.0,1.0,0.0,GOOG,XNAS,2025-07-18 00:00:00+00:00
514.48,514.64,507.43,510.05,21203400.0,514.64,507.43,510.05,514.48,21209666.0,1.0,0.0,MSFT,XNAS,2025-07-18 00:00:00+00:00
212.05,215.78,211.6409,212.48,51064253.0,215.78,211.63,212.48,212.1,51377434.0,1.0,0.0,AAPL,XNAS,2025-07-21 00:00:00+00:00
187.1,191.26,187.05,191.15,24605200.0,191.26,187.05,191.15,187.1,24664994.0,1.0,0.0,GOOG,XNAS,2025-07-21 00:00:00+00:00
506.71,512.09,505.55,510.06,14057700.0,512.09,505.55,510.06,506.705,14066805.0,1.0,0.0,MSFT,XNAS,2025-07-21 00:00:00+00:00
213.14,214.95,212.23,214.4,46300400.0,214.95,212.2301,214.4,213.14,46404072.0,1.0,0.0,AAPL,XNAS,2025-07-22 00:00:00+00:00
192.42,193.36,188.495,192.11,26145800.0,193.36,188.495,192.11,192.42,26212909.0,1.0,0.0,GOOG,XNAS,2025-07-22 00:00:00+00:00
510.97,511.2,505.27,505.27,13845300.0,511.2,505.27,505.27,510.97,13868644.0,1.0,0.0,MSFT,XNAS,2025-07-22 00:00:00+00:00
215.045,215.1,212.41,214.15,46415026.0,215.15,212.41,214.15,215.0,46989301.0,1.0,0.0,AAPL,XNAS,2025-07-23 00:00:00+00:00
192.36,193.36,190.18,191.51,33678000.0,193.36,190.18,191.51,192.36,34068129.0,1.0,0.0,GOOG,XNAS,2025-07-23 00:00:00+00:00
506.75,506.79,500.7,505.87,16388300.0,506.79,500.7,505.87,506.75,16396585.0,1.0,0.0,MSFT,XNAS,2025-07-23 00:00:00+00:00
213.9,215.69,213.53,213.76,45773373.0,215.69,213.53,213.76,213.9,46022620.0,1.0,0.0,AAPL,XNAS,2025-07-24 00:00:00+00:00
198.11,198.97,191.95,193.2,45196300.0,198.97,191.95,193.2,198.11,45252060.0,1.0,0.0,GOOG,XNAS,2025-07-24 00:00:00+00:00
508.77,513.67,507.3,510.88,16097400.0,513.67,507.3,510.88,508.77,16107000.0,1.0,0.0,MSFT,XNAS,2025-07-24 00:00:00+00:00
214.7,215.24,213.4,213.88,40219700.0,215.24,213.4,213.88,214.7,40268781.0,1.0,0.0,AAPL,XNAS,2025-07-25 00:00:00+00:00
192.93,195.275,192.13,194.08,31082500.0,195.275,192.13,194.08,192.93,31101847.0,1.0,0.0,GOOG,XNAS,2025-07-25 00:00:00+00:00
512.47,518.29,510.36,513.71,19106400.0,518.29,510.3592,513.71,512.465,19125699.0,1.0,0.0,MSFT,XNAS,2025-07-25 00:00:00+00:00
214.03,214.85,213.06,214.05,37796900.0,214.845,213.06,214.05,214.03,37858017.0,1.0,0.0,AAPL,XNAS,2025-07-28 00:00:00+00:00
194.41,194.82,191.855,193.42,25529200.0,194.82,191.855,193.42,194.41,25553546.0,1.0,0.0,GOOG,XNAS,2025-07-28 00:00:00+00:00
514.08,515.0,510.12,512.5,14293300.0,515.0,510.12,512.5,514.08,14308027.0,1.0,0.0,MSFT,XNAS,2025-07-28 00:00:00+00:00
214.18,214.81,210.82,211.27,49943600.0,214.81,210.82,211.27,214.175,51411723.0,1.0,0.0,AAPL,XNAS,2025-07-29 00:00:00+00:00
193.3,196.66,192.99,196.43,31871300.0,196.66,192.99,196.43,193.3,31891598.0,1.0,0.0,GOOG,XNAS,2025-07-29 00:00:00+00:00
515.53,517.62,511.56,512.57,16444700.0,517.62,511.56,512.57,515.53,16469235.0,1.0,0.0,MSFT,XNAS,2025-07-29 00:00:00+00:00
211.9,212.39,207.72,209.05,43797200.0,212.39,207.72,209.05,211.895,45512514.0,1.0,0.0,AAPL,XNAS,2025-07-30 00:00:00+00:00
196.3,198.48,195.56,197.44,21071600.0,198.4799,195.56,197.44,196.3,21150522.0,1.0,0.0,GOOG,XNAS,2025-07-30 00:00:00+00:00
515.17,515.95,509.44,513.24,25931800.0,515.95,509.435,513.24,515.17,26380434.0,1.0,0.0,MSFT,XNAS,2025-07-30 00:00:00+00:00
208.49,209.84,207.16,207.57,78744400.0,209.84,207.16,207.57,208.49,80698431.0,1.0,0.0,AAPL,XNAS,2025-07-31 00:00:00+00:00
196.6,196.83,192.08,192.86,27758800.0,196.83,192.08,192.86,196.6,27852019.0,1.0,0.0,GOOG,XNAS,2025-07-31 00:00:00+00:00
555.23,555.45,531.9,533.5,51500000.0,555.45,531.9,533.5,555.225,51617326.0,1.0,0.0,MSFT,XNAS,2025-07-31 00:00:00+00:00
210.87,213.58,201.5,202.38,104301700.0,213.58,201.5,202.38,210.865,104434473.0,1.0,0.0,AAPL,XNAS,2025-08-01 00:00:00+00:00
189.78,191.618,188.7,189.95,21215400.0,191.6175,188.7,189.95,189.78,21236711.0,1.0,0.0,GOOG,XNAS,2025-08-01 00:00:00+00:00
535.0,535.8,520.86,524.11,28955600.0,535.8,520.86,524.11,535.0,28977628.0,1.0,0.0,MSFT,XNAS,2025-08-01 00:00:00+00:00
204.51,207.88,201.68,203.35,75020600.0,207.88,201.675,203.35,204.505,75109298.0,1.0,0.0,AAPL,XNAS,2025-08-04 00:00:00+00:00
191.175,196.08,190.92,195.75,23359800.0,196.08,190.92,195.75,191.175,23385950.0,1.0,0.0,GOOG,XNAS,2025-08-04 00:00:00+00:00
528.27,538.25,528.13,535.64,25328300.0,538.25,528.13,535.64,528.27,25349004.0,1.0,0.0,MSFT,XNAS,2025-08-04 00:00:00+00:00
203.4,205.34,202.16,202.92,44106200.0,205.34,202.16,202.92,203.4,44155079.0,1.0,0.0,AAPL,XNAS,2025-08-05 00:00:00+00:00
195.545,198.7,194.675,195.32,18995300.0,198.7,194.675,195.32,195.545,19010151.0,1.0,0.0,GOOG,XNAS,2025-08-05 00:00:00+00:00
537.18,537.3,527.24,527.75,19144000.0,537.3,527.24,527.75,537.18,19171569.0,1.0,0.0,MSFT,XNAS,2025-08-05 00:00:00+00:00
205.63,215.38,205.59,213.25,106498000.0,215.38,205.59,213.25,205.63,108483103.0,1.0,0.0,AAPL,XNAS,2025-08-06 00:00:00+00:00
195.25,197.38,194.467,196.92,15365900.0,197.38,194.4673,196.92,195.25,15383679.0,1.0,0.0,GOOG,XNAS,2025-08-06 00:00:00+00:00
530.9,531.7,524.03,524.94,21322500.0,531.7,524.03,524.94,530.9,21355702.0,1.0,0.0,MSFT,XNAS,2025-08-06 00:00:00+00:00
218.88,220.85,216.58,220.03,89932900.0,220.85,216.58,220.03,218.875,90224834.0,1.0,0.0,AAPL,XNAS,2025-08-07 00:00:00+00:00
197.71,198.37,195.22,197.28,14641800.0,198.37,195.22,197.28,197.71,14660550.0,1.0,0.0,GOOG,XNAS,2025-08-07 00:00:00+00:00
526.8,528.09,517.55,520.84,16056600.0,528.09,517.5511,520.84,526.8,16079144.0,1.0,0.0,MSFT,XNAS,2025-08-07 00:00:00+00:00
220.83,231.0,219.25,229.35,113696100.0,231.0,219.25,229.35,220.83,113853967.0,1.0,0.0,AAPL,XNAS,2025-08-08 00:00:00+00:00
197.98,203.43,197.9,202.09,24356300.0,203.43,197.9,202.09,197.98,24379909.0,1.0,0.0,GOOG,XNAS,2025-08-08 00:00:00+00:00
522.6,524.66,519.41,522.04,15516600.0,524.66,519.41,522.04,522.6,15531009.0,1.0,0.0,MSFT,XNAS,2025-08-08 00:00:00+00:00
227.92,229.56,224.76,227.18,61725300.0,229.56,224.76,227.18,227.92,61806132.0,1.0,0.0,AAPL,XNAS,2025-08-11 00:00:00+00:00
201.555,202.16,199.8,201.63,16679600.0,202.16,199.8,201.63,201.555,16690235.0,1.0,0.0,GOOG,XNAS,2025-08-11 00:00:00+00:00
522.3,527.59,519.72,521.77,20180800.0,527.59,519.72,521.77,522.3,20194372.0,1.0,0.0,MSFT,XNAS,2025-08-11 00:00:00+00:00
228.01,230.8,227.07,229.65,55626200.0,230.8,227.07,229.65,228.005,55672301.0,1.0,0.0,AAPL,XNAS,2025-08-12 00:00:00+00:00
202.095,205.13,201.4,204.16,19854000.0,205.13,201.4,204.16,202.095,19871996.0,1.0,0.0,GOOG,XNAS,2025-08-12 00:00:00+00:00
523.75,530.98,522.7,529.24,18667000.0,530.98,522.7,529.24,523.75,18688921.0,1.0,0.0,MSFT,XNAS,2025-08-12 00:00:00+00:00
231.07,235.0,230.43,233.33,69833200.0,235.0,230.43,233.33,231.07,69878546.0,1.0,0.0,AAPL,XNAS,2025-08-13 00:00:00+00:00
204.98,205.43,198.64,203.03,19561800.0,205.43,198.64,203.03,204.98,19573041.0,1.0,0.0,GOOG,XNAS,2025-08-13 00:00:00+00:00
532.11,532.7,519.37,520.58,19587300.0,532.7,519.37,520.58,532.11,19619160.0,1.0,0.0,MSFT,XNAS,2025-08-13 00:00:00+00:00
